Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,896.316284,1039.015015,894.354065,1033.058472,1033.058472,2426436430
2017-04-03,1033.789429,1130.296387,1033.498779,1122.856567,1122.856567,2547806960
2017-04-10,1122.317871,1139.241211,1089.336792,1115.139404,1115.139404,1614546564
2017-04-17,1115.431763,1156.805908,1101.493530,1110.282349,1110.282349,1777603385
2017-04-24,1112.508057,1235.934326,1112.610352,1236.029419,1236.029419,2405647461
2017-05-01,1236.405396,1476.439453,1236.632202,1456.320679,1456.320679,4852830659
2017-05-08,1456.512207,1721.729248,1455.981079,1655.601318,1655.601318,5487444428
2017-05-15,1655.171143,1891.360352,1497.755981,1822.337280,1822.337280,6206402422
2017-05-22,1824.113892,2464.957275,1659.658325,1928.954956,1928.954956,10769889216
2017-05-29,1932.202881,2292.862061,1887.468628,2227.769531,2227.769531,8748204838
2017-06-05,2228.292480,2677.448242,2226.556641,2641.169678,2641.169678,10138206472
2017-06-12,2636.803467,2675.408447,1987.926636,2274.649658,2274.649658,10705875800
2017-06-19,2275.310303,2490.351318,2275.513428,2312.179688,2312.179688,8179543277
2017-06-26,2313.215576,2336.713623,2067.337158,2194.423096,2194.423096,6812684800
2017-07-03,2187.497803,2558.241943,2174.515625,2208.576660,2208.576660,5123410516
2017-07-10,2214.548828,2228.511230,1607.246948,1682.200073,1682.200073,6513194968
2017-07-17,1684.640869,2495.225830,1684.640869,2337.871338,2337.871338,8577741731
2017-07-24,2339.840576,2466.334717,2107.127441,2347.535156,2347.535156,5932721561
2017-07-31,2352.694824,2797.799805,2249.696533,2729.692383,2729.692383,6894093324
2017-08-07,2728.707275,3561.603027,2698.871338,3445.491455,3445.491455,11545127791
2017-08-14,3439.435059,3843.589355,3335.764160,3477.379883,3477.379883,15804075350
2017-08-21,3479.778809,3748.696045,3112.731934,3667.681885,3667.681885,13309062437
2017-08-28,3668.996094,4195.867676,3542.972168,3857.710449,3857.710449,13093577835
2017-09-04,3865.008301,3877.907471,3283.503662,3430.922852,3430.922852,12923780617
2017-09-11,3430.531982,3628.706055,2464.965820,3001.490967,3001.490967,13040766792
2017-09-18,3008.368896,3421.990967,2969.689209,3088.076660,3088.076660,7553245263
2017-09-25,3087.020020,3729.454834,3087.020020,3729.454834,3729.454834,8137305348
2017-10-02,3722.738770,3942.148438,3536.648438,3926.486084,3926.486084,7062757283
2017-10-09,3929.926758,4950.499023,3892.086670,4806.322754,4806.322754,12562074858
2017-10-16,4814.262695,5257.472656,4378.242188,5111.808594,5111.808594,12389682394
2017-10-23,5109.750000,5389.136719,4590.424316,5302.757324,5302.757324,12817994959
2017-10-30,5269.151367,6562.832520,5201.799805,6377.451660,6377.451660,17058358454
2017-11-06,6373.844238,6709.594238,4732.066895,5102.976074,5102.976074,27782572870
2017-11-13,5092.838867,6874.181152,5016.558105,6848.308594,6848.308594,25735724612
2017-11-20,6850.506836,7985.685059,6613.879395,7823.048340,7823.048340,25728291696
2017-11-27,7841.636230,10004.808594,7735.415039,9550.607422,9550.607422,42454898553
2017-12-04,9544.028320,15603.979492,9341.481445,13134.529297,13134.529297,78174992644
2017-12-11,13110.733398,17094.111328,13090.414063,16299.753906,16299.753906,79781743538
2017-12-18,16270.458984,16432.812500,9983.968750,11753.713867,11753.713867,98978012184
2017-12-25,11812.879883,14249.201172,10295.181641,11795.034180,11795.034180,74177475326
2018-01-01,11758.207031,14725.972656,10956.883789,13689.125000,13689.125000,102867816250
2018-01-08,13687.961914,13732.375977,10880.760742,11297.785156,11297.785156,88014513923
2018-01-15,11293.929688,11788.395508,7688.519043,9464.833008,9464.833008,80055250228
2018-01-22,9491.758789,9777.269531,8278.604492,9482.902344,9482.902344,52303611417
2018-01-29,9458.122070,9558.595703,6242.685547,6650.337402,6650.337402,48868048273
2018-02-05,6645.139160,7457.328613,4879.596191,6636.710449,6636.710449,50820621977
2018-02-12,6646.065430,9149.375000,6644.438477,8501.973633,8501.973633,43202127848
2018-02-19,8502.618164,9693.985352,7652.371094,7865.817871,7865.817871,44971326358
2018-02-26,7869.642578,9359.584961,7713.069824,9346.918945,9346.918945,39828336141
2018-03-05,9362.994141,9495.456055,6912.171387,7782.442383,7782.442383,40242279103
2018-03-12,7802.185547,8072.705078,6020.989746,6696.807617,6696.807617,34138479545
2018-03-19,6794.886230,7470.386719,6656.687012,6878.060547,6878.060547,33139307856
2018-03-26,6880.237793,6896.337891,5297.354004,5558.991211,5558.991211,30749438495
2018-04-02,5559.502930,6141.689941,5371.292969,5724.140137,5724.140137,25908640918
2018-04-09,5741.091797,6763.257324,5407.898438,6754.610840,6754.610840,33167648196
2018-04-16,6761.471191,7326.745605,6372.156250,7172.799805,7172.799805,39539652580
2018-04-23,7166.223633,7972.284180,7163.427734,7769.595215,7769.595215,50893726022
2018-04-30,7775.394043,8332.915039,7391.960449,8077.302734,8077.302734,47766776427
2018-05-07,8069.664551,8081.813965,6886.200195,7299.146973,7299.146973,42072733146
2018-05-14,7290.076660,7446.231445,6755.459473,7236.081543,7236.081543,35852617709
2018-05-21,7243.799316,7301.014648,6241.167480,6304.089844,6304.089844,30564257100
2018-05-28,6306.733398,6650.849121,6102.134277,6617.735352,6617.735352,30468155556
2018-06-04,6619.689453,6639.681152,5698.208008,5759.161621,5759.161621,28075382806
2018-06-11,5770.423340,5875.114746,5334.037598,5607.169434,5607.169434,25556571311
2018-06-18,5616.486816,5900.285156,4999.064941,5294.819336,5294.819336,24594911167
2018-06-25,5293.738770,5534.117676,5010.947754,5468.248047,5468.248047,24752038673
2018-07-02,5463.589355,5862.843750,5416.337402,5764.513672,5764.513672,25570948291
2018-07-09,5765.535156,5822.135254,5261.893066,5445.830078,5445.830078,21545562878
2018-07-16,5443.577637,6487.843750,5443.111328,6319.524902,6319.524902,29323021890
2018-07-23,6316.304688,7210.707520,6313.139160,7049.026367,7049.026367,31209256327
2018-07-30,7051.702637,7066.065918,6000.432129,6114.602051,6114.602051,27891964647
2018-08-06,6109.809570,6198.365234,5354.101563,5549.626953,5549.626953,27988489768
2018-08-13,5566.014160,5809.956055,5234.090332,5688.615723,5688.615723,27123644188
2018-08-20,5683.754395,5889.235352,5441.626465,5759.776855,5759.776855,22313164128
2018-08-27,5762.816895,6299.085938,5756.074707,6271.749023,6271.749023,25951654998
2018-09-03,6277.190430,6381.291992,5365.353516,5451.042480,5451.042480,27138074244
2018-09-10,5451.656738,5643.034180,5403.720215,5607.141113,5607.141113,22712194077
2018-09-17,5604.456543,5795.783203,5319.002930,5712.162109,5712.162109,27384169951
2018-09-24,5707.174316,5836.251953,5423.770508,5708.814453,5708.814453,26831950027
2018-10-01,5703.894531,5765.039551,5577.747070,5730.562012,5730.562012,22503542970
2018-10-08,5728.166504,5807.108398,5380.277832,5445.265137,5445.265137,22920980323
2018-10-15,5446.745605,6023.188477,5416.737305,5632.015137,5632.015137,25727432836
2018-10-22,5635.229492,5718.764648,5621.288086,5690.886230,5690.886230,21178431441
2018-10-29,5695.965820,5769.176270,5530.062988,5593.523926,5593.523926,24835272136
2018-11-05,5582.994629,5718.562988,5583.834961,5661.895020,5661.895020,26776319262
2018-11-12,5662.039551,5679.335449,4742.370117,4927.896973,4927.896973,32594761455
2018-11-19,4925.349121,4925.349121,3160.732178,3537.531494,3537.531494,37383872755
2018-11-26,3541.829834,3886.449951,3211.142578,3650.523682,3650.523682,37870683099
2018-12-03,3656.446533,3664.173096,2881.198730,3168.852295,3168.852295,33757006639
2018-12-10,3167.974121,3196.638916,2822.041016,2876.576660,2876.576660,26350332901
2018-12-17,2877.338379,3666.056152,2876.710693,3516.363281,3516.363281,40410949562
2018-12-24,3517.243652,3750.702148,3178.294922,3379.538330,3379.538330,34377306243
